4 c8dc5a51ab1dbc0fbffbcfa8fc6b0cab 1 2 -1 0
6 b4b9e754d0854f7f0e3f58e8e2143936 2 3 -1 1
7 252e36f20603e14480a91cf5ea97589c 2 4 0 0
8 502706bbcfbbc69deb666781dda89a1c 1 4 1 0
16 43a9412dde0536563e9de7e60d92189d 2 3 -1 0
17 ecd4c50ebae2fa2d0e7183b4a2db460f 2 4 -1 0
19 927b39d7e6bca39fd0ba18722c97fd2c 2 4 0 0
21 c0d44fd99b0cf54b0b6bfc621c01e58b 2 2 -1 0
22 b68f66a19e402dc4b57c302819ec4288 2 3 0 0
23 596cacde121087129ced47265484fa37 2 3 0 0
24 96ee7447ac1f9b81397401f8504146aa 2 4 0 0
26 6290aa3e21d9d85d6d0073d65d2c4005 2 3 0 0
32 c8b7274586645099fea910e05ec12dad 1 1 -1 0
33 c68cb7bfe88c8838505bd29fa68359b4 1 4 -1 1
36 662ca776302f9b66c1b3b64900a5b40e 2 3 0 0
37 a88161f7ef300bb776c98a697ffb7d54 2 3 -1 0
38 b86329e546dd98adddaebf927db1d80e 2 4 0 0
42 4168bd818a28b1208f31e0af1a3da8f2 2 3 0 1
46 a5defc180d8c8451a15d6e4e7125d3d8 2 4 0 0
49 3e3ca720d47951d6299fb5d6be0cbeec 2 2 0 0
50 dc835069d34b1102cc14879a965ea0c9 2 4 1 0
52 a1f7574b68f59bbc1c839f0c617fdbc7 1 3 0 1
53 acb4c29e22038ce61f595c31a0c27923 2 4 0 1
54 34e31d24a808550b01acdcde7234b074 2 4 0 0
56 21c9333a6ff633bf35548e3635a721cf 2 2 0 0
57 8a927ab55e82d0b938ca4cced0036a22 1 4 0 0
58 4cf13038d6cf17af6ab9e8711b65cb98 2 3 1 0
65 351c33572069823084f33717eb1469ef 2 3 0 0
67 d9e72481cf92c9f1535654c69599a44b 1 3 1 0
68 2c60e55f3ce6c687bcf8215f383e6cbd 2 3 1 0
69 4e2e4178139e28ee0e12449301d1a190 1 3 -1 0
73 3b0b7e4c1c062d1e0dabb88a25550568 2 4 0 0
74 f881f5abfcbcbedb510515a831289f4a 2 3 0 0
76 926a8679e2c1b1f1f2d00adbc276701d 2 5 1 0
77 ebf1e561381c159bc9928fa5e106da49 2 4 0 0
80 d8b7b7566c6ea07a0c958c8ed0f0c8e3 1 5 0 0
81 27cdf276df925b52a37a01adcac52c52 2 4 0 0
82 cd0048f700b47ab71b6ac496467558d8 2 4 -1 0
85 cc4beeaec64b5b16d0ac28b2c14bb541 2 5 0 0
87 b3d17fa86c325b8e28507e3f77cf75da 1 4 0 0
89 6ff906e9b62e120fef5d44f0440b6181 2 3 0 0
90 6d6c4d50ba66f6ce864b3a47ad682411 1 3 -1 0
94 c8431b6152f81ac8efc451e8ad98118b 1 4 0 0
100 2143aa1b7def1caf8d39ae7951ed3616 2 4 0 0
102 26c1d2ac1d5598ef079ab51455043373 2 2 0 0
103 cdde66f5b8c85ae7058a930a77d829c8 1 4 -1 0
106 4642eb6e90e160565d4f9e1a105f73fd 2 4 1 0
108 250963d4f8b4b0b394bb17373622fa69 2 3 0 1
109 7d000881c8b555caf38adf8e9cc38c4a 2 4 1 1
112 cf90961761c36d4e507c0bae848e7b4a 2 4 1 0
114 db7f92259b6935312495086a6955316b 2 3 0 0
116 951f6a71f072091ff13a7e8b64d0d1af 1 4 -1 0
117 98ffaf8f37b7f1399d92f957b23c9636 2 3 0 0
118 e7c75dcad62f7b9665ca684f20805357 2 4 1 0
119 c09c1ed4ad961b4c8187ebbcae4ab66b 2 4 1 1
120 52c61383fb743ea36957f0138eac46b9 2 2 0 1
123 1fcc2991ec41e32f40eeca680989b264 2 3 0 0
124 4c6eb3c01b0c23abafb078f193c7a8a9 1 3 1 0
125 45586ae9e3f5555a3b97820a687624d5 2 2 -1 0
127 44c608623bbba2b6bc72a5f6333a3b7a 2 4 1 0
128 7de67908f4e1be5f3c64aa7df4e91613 2 4 1 0
129 a32c5f515497ea0cd28162abd6a29fa7 2 2 -1 0
130 e57e1a23b4610c141bbe378cb423b7bf 2 3 1 0
131 50d57d1fd09dde00439c9906fd3cbb5b 2 3 -1 0
133 b50df9e37d65790e6b310cc62868ccc8 2 5 0 0
134 74ca5678083a06efb47f657f402965af 2 4 1 1
138 452e97d6127b18e8e2ce04fe4d1a93bc 2 4 1 0
